日期,用电量
20180726,16148.658306226978
20180727,16023.735359884402
20180728,9533.049500929026
20180729,9620.463016822636
20180730,16299.742179730627
20180731,16229.249117694737
20180801,16248.001995055049
20180802,16148.658306226978
20180803,16286.373757368421
20180804,9533.049500929026
20180805,9620.463016822636
20180806,16299.742179730627
20180807,15966.610720210718
20180808,15985.36359757103
20180809,11281.421497978285
20180810,11419.136949119727
20180811,8970.819880708035
20180812,9058.233396601645
20180813,11443.332659715634
20180814,11372.839597679744
20180815,11391.592475040055
20180816,11139.950826890114
20180817,11277.666278031556
20180818,8993.330070452907
20180819,9080.743586346516
20180820,11432.505371481933
20180821,11362.012309446043
20180822,11380.765186806355
20180823,9811.54191508662
20180824,16286.373757368421
20180825,8098.509885012157
20180826,8071.314365305592
20180827,9835.344355748344
20180828,9911.905547490696
20180829,9330.812179708877
20180830,9811.54191508662
20180831,11449.819739637733
20180901,7983.900849411984
20180902,8071.314365305592
20180903,9982.398609526586
20180904,11240.31445929419
20180905,10052.356275002861
20180906,9953.012586174791
20180907,9817.19261316566
20180908,8993.330070452907
20180909,8916.762725513474
20180910,9982.398609526586
20180911,11372.839597679744
20180912,11391.592475040055
20180913,9811.54191508662
20180914,9808.247080463043
20180915,7983.900849411984
20180916,8071.314365305592
20180917,10000.289842364342
20180918,9969.425103549074
20180919,9988.177980909386
20180920,9869.061471144998
20180921,9183.123311145457
20180922,7454.535190382809
20180923,7541.9487062764165
20180924,7663.013765873637
20180925,9292.097924570058
20180926,9240.396511859255
20180927,9100.242359323336
20180928,8805.183130136122
20180929,8911.536604768826
20180930,8868.302481792101
20181001,7592.559475802522
20181002,7592.559475802522
20181003,7592.559475802522
20181004,7572.786654866203
20181005,7277.727425678992
20181006,7384.080900311695
20181007,7471.4944162053025
20181008,9170.947490799896
20181009,9079.945273802829
20181010,9098.69815116314
20181011,8958.543998627221
20181012,8663.484769440007
20181013,7481.924150274761
20181014,7569.337666168369
20181015,8987.632283971792
20181016,9066.017825265366
20181017,9088.291857789933
