data,yl,max,min,mean,holidays,weekday,month
20181029,,13.0,4.0,8.5,1,1,10
20181030,,17.0,7.0,12.0,1,2,10
20181031,,15.0,8.0,11.5,1,3,10
20181101,,20.0,8.0,14.0,1,4,11
20181102,,19.0,7.0,13.0,1,5,11
20181103,,13.0,2.0,7.5,0.5,6,11
20181104,,15.0,7.0,11.0,0.5,7,11
20181105,,16.0,8.0,12.0,1,1,11
20181106,,16.0,8.0,12.0,1,2,11
20181107,,20.0,6.0,13.0,1,3,11
20181108,,15.0,10.0,12.5,1,4,11
20181109,,16.0,10.0,13.0,1,5,11
20181110,,12.0,2.0,7.0,0.5,6,11
20181111,,10.0,3.0,6.5,0.5,7,11
20181112,,11.0,4.0,7.5,1,1,11
20181113,,12.0,3.0,7.5,1,2,11
20181114,,8.0,0.0,4.0,1,3,11
20181115,,7.0,2.0,4.5,1,4,11
20181116,,10.0,2.0,6.0,1,5,11
20181117,,6.0,-2.0,2.0,0.5,6,11
20181118,,4.0,-2.0,1.0,0.5,7,11
20181119,,6.0,-1.0,2.5,1,1,11
20181120,,10.0,0.0,5.0,1,2,11
20181121,,8.0,3.0,5.5,1,3,11
20181122,,9.0,1.0,5.0,1,4,11
20181123,,7.0,-2.0,2.5,1,5,11
20181124,,7.0,-1.0,3.0,0.5,6,11
20181125,,9.0,2.0,5.5,0.5,7,11
20181126,,5.0,-3.0,1.0,1,1,11
20181127,,6.0,2.0,4.0,1,2,11
20181128,,9.0,-2.0,3.5,1,3,11
20181129,,1.0,-3.0,-1.0,1,4,11
20181130,,3.0,-2.0,0.5,1,5,11
20181201,,5.0,-2.0,1.5,0.5,6,12
20181202,,6.0,-1.0,2.5,0.5,7,12
20181203,,5.0,-2.0,1.5,1,1,12
20181204,,3.0,-3.0,0.0,1,2,12
20181205,,8.0,-2.0,3.0,1,3,12
20181206,,9.0,1.0,5.0,1,4,12
20181207,,5.0,-2.0,1.5,1,5,12
20181208,,7.0,-1.0,3.0,0.5,6,12
20181209,,7.0,1.0,4.0,0.5,7,12
20181210,,5.0,-1.0,2.0,1,1,12
20181211,,2.0,-5.0,-1.5,1,2,12
20181212,,-1.0,-6.0,-3.5,1,3,12
20181213,,1.0,-4.0,-1.5,1,4,12
20181214,,1.0,-4.0,-1.5,1,5,12
20181215,,3.0,-2.0,0.5,0.5,6,12
20181216,,0.0,-5.0,-2.5,0.5,7,12
20181217,,6.0,-2.0,2.0,1,1,12
20181218,,8.0,2.0,5.0,1,2,12
20181219,,5.0,-3.0,1.0,1,3,12
20181220,,8.0,-3.0,2.5,1,4,12
20181221,,9.0,-1.0,4.0,1,5,12
20181222,,11.0,-1.0,5.0,0.5,6,12
20181223,,6.0,2.0,4.0,0.5,7,12
20181224,,6.0,-1.0,2.5,1,1,12
20181225,,5.0,-1.0,2.0,1,2,12
20181226,,3.0,-4.0,-0.5,1,3,12
20181227,,3.0,-1.0,1.0,1,4,12
20181228,,4.0,-2.0,1.0,1,5,12
20181229,,1.0,-1.0,0.0,0.5,6,12
